PROCESO;CÓDIGO;TITULO DOCUMENTO;TIPO;VERSIÓN;ESTADO;FECHA DE APROBACION;ÁREAS;MOTIVO DEL CAMBIO;TIEMPO DE RETENCIÓN;RESPONSABLE DE RETENCIÓN;LUGAR DE ALMACENAMIENTO FÍSICO;LUGAR DE ALMACENAMIENTO MAGNÉTICO;CONSERVACIÓN;DISPOSICIÓN FINAL;COPIAS CONTROLADAS; FECHA DE VIGENCIA;DIAS;SEÑAL ALERTA;OBSOLETO;ANULADO;EN ACTUALIZACIÓN
ADMINISTRACIÓN DE PERSONAL;APE-F027;DÍA FAMILIAR GATE GOURMET;F;2;DESACTUALIZADO;2018-08-10;TALENTO HUMANO;;;;;;;;"1
";2024-08-12;2162;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-F028;SOLICITUD O CAMBIO  DE DOTACION;F;2;DESACTUALIZADO;2018-08-11;TALENTO HUMANO;;;;;;;;"1
";2024-08-12;2161;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-F029;ENTREGA DE DOTACIÓN PARA PRESTAMO A ROPERÍA;F;5;OBSOLETO;2018-08-12;TALENTO HUMANO;;;;;;;;"1
";2024-08-12;2160; ;x;;
ADMINISTRACIÓN DE PERSONAL;APE-F030;CONTROL DE ENTREGA DE DOTACIÓN IDS;F;1;OBSOLETO;2018-08-13;TALENTO HUMANO;;;;;;;;"1
";2024-08-12;2159; ;x;;
ADMINISTRACIÓN DE PERSONAL;APE-F031;CONTROL ENTREGA DE DOTACION;F;3;DESACTUALIZADO;2018-08-14;TALENTO HUMANO;;;;;;;;"1
";2024-08-12;2158;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-F032;MATRIZ DE REQUISITOS LEGALES;F;3;DESACTUALIZADO;2018-08-15;TALENTO HUMANO;;;;;;;;"1
";2024-08-12;2157;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-F033;SOLICITUD DE CAMBIO DE TURNO - DÍA COMPENSATORIO;F;1;DESACTUALIZADO;2018-08-16;TALENTO HUMANO;;;;;;;;"1
";2024-08-12;2156;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-F034;ACTA ENTREGA DE CASILLERO;F;1;DESACTUALIZADO;2018-08-17;TALENTO HUMANO;;;;;;;;"1
";2024-08-12;2155;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-I001;CREACIÓN DE UNA POLÍTICA;F;1;DESACTUALIZADO;2018-08-18;TALENTO HUMANO;;;;;;;;"1
";2024-08-12;2154;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-P001;DESVINCULACION PERSONAL DE LA COMPAÑÍA;P;9;DESACTUALIZADO;2018-08-19;TALENTO HUMANO;;;;;;;;1;2024-08-12;2153;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-P002;PROCESO DISCIPLINARIO EN CASO DE FALTAS LEVES, MEDIAS Y GRAVES;P;5;DESACTUALIZADO;2018-08-20;TALENTO HUMANO;;;;;;;;1;2024-08-12;2152;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-P003;PROCEDIMIENTO DE TERMINACIÓN DE CONTRATOS DE TRABAJO CON Y SIN JUSTA CAUSA;P;5;DESACTUALIZADO;2018-08-21;TALENTO HUMANO;;;;;;;;1;2024-08-12;2151;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-P004;SOLICITUD Y ENTREGA DE DOTACIÓN A PERSONAL NUEVO;P;1;DESACTUALIZADO;2018-08-22;TALENTO HUMANO;;;;;;;;;2024-08-12;2150;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-P005;SOLICITUD Y ENTREGA DE DOTACIÓN DE LEY;P;1;DESACTUALIZADO;2018-08-23;TALENTO HUMANO;;;;;;;;;2024-08-12;2149;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-P006;ENTREGA DE DOTACIÓN A MARQUILLAJE Y COSTURA;P;1;DESACTUALIZADO;2018-08-24;TALENTO HUMANO;;;;;;;;;2024-08-12;2148;alerta;;;
ADMINISTRACIÓN DE PERSONAL;APE-P007;DISPOSICIÓN FINAL DE DOTACIÓN USADA Y-O EN MAL ESTADO;P;1;DESACTUALIZADO;2018-08-25;TALENTO HUMANO;;;;;;;;;2024-08-12;2147;alerta;;;
CORRESPONDENCIA Y ARCHIVO;ARC-F001;CONTROL REGISTRO DE CORRESPONDENCIA;F;1;DESACTUALIZADO;2018-08-26;GERENCIA - RECEPCIÓN;;;;;;;;1;2024-08-12;2146;alerta;;;
CORRESPONDENCIA Y ARCHIVO;ARC-F002;CONTROL ENTREGA DE CORRESPONDENCIA;F;1;DESACTUALIZADO;2018-08-27;GERENCIA - RECEPCIÓN;;;;;;;;1;2024-08-12;2145;alerta;;;
CORRESPONDENCIA Y ARCHIVO;ARC-F003;CONTROLPRESTAMO DE DOCUMENTOS ARCHIVO;F;1;DESACTUALIZADO;2018-08-28;GERENCIA - RECEPCIÓN;;;;;;;;1;2024-08-12;2144;alerta;;;
CORRESPONDENCIA Y ARCHIVO;ARC-F004;REGISTRO ENTREGA DE DOCUMENTOS PARA  ARCHIVO O DESTRUCCIÓN;F;2;DESACTUALIZADO;2018-08-29;GERENCIA - RECEPCIÓN;;;;;;;;1;2024-08-12;2143;alerta;;;
CORRESPONDENCIA Y ARCHIVO;ARC-F005;LISTADO MAESTRO DE RETENCIÓN DE REGISTROS;F;1;DESACTUALIZADO;2018-08-30;GERENCIA - RECEPCIÓN;;;;;;;;1;2024-08-12;2142;alerta;;;
CORRESPONDENCIA Y ARCHIVO;ARC-F006;PEDIDO DE PAPELERIA;F;1;DESACTUALIZADO;2018-08-31;GERENCIA - RECEPCIÓN;;;;;;;;1;2024-08-12;2142;alerta;;;
CORRESPONDENCIA Y ARCHIVO;ARC-F007;PRESTAMO DE SALAS Y CONTROL DE MANAJE;F;1;DESACTUALIZADO;2018-09-01;GERENCIA - RECEPCIÓN;;;;;;;;1;2024-08-12;2141;alerta;;;
CORRESPONDENCIA Y ARCHIVO;ARC-P001;MANEJO DE CORRESPONDENCIA EXTERNA;P;2;DESACTUALIZADO;2018-09-02;GERENCIA - RECEPCIÓN;;;;;;;;1;2024-08-12;2140;alerta;;;
CORRESPONDENCIA Y ARCHIVO;ARC-P002;PRESTAMO DE DOCUMENTOS DEL ARCHIVO;P;1;DESACTUALIZADO;2018-09-03;GERENCIA - RECEPCIÓN;;;;;;;;1;2024-08-12;2139;alerta;;;
CORRESPONDENCIA Y ARCHIVO;ARC-P003;ARCHIVO, EMPASTE Y DESTRUCCIÓN DE DOCUMENTOS;P;2;DESACTUALIZADO;2018-09-04;GERENCIA - RECEPCIÓN;;;;;;;;1;2024-08-12;2138;alerta;;;
ASEO;ASE-F001;LISTA DE VERIFICACIÓN PROCEDIMIENTOS DE LIMPIEZA & DESINFECCIÓN;F;9;DESACTUALIZADO;2018-09-05;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2137;alerta;;;
ASEO;ASE-F002;FRECUENCIAS DE ASEO PLANTA - VPS DE ACTIVIDADES;F;6;OBSOLETO;2018-09-06;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2136; ;x;;
ASEO;ASE-F003;REGISTROS DE ENTREGAS DE RESIDUOS PELIGROSOS DE VUELOS INTERNACIONALES PARA INCINERACIÓN;F;5;OBSOLETO;2018-09-07;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2135; ;x;;
ASEO;ASE-F004;ENTREGA DE ATOMIZADOR CON DESINFECTANTE PARA TODAS LAS ÁREAS;F;7;DESACTUALIZADO;2018-09-08;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2134;alerta;;;
ASEO;ASE-F006;REGISTRO DE MATERIALES INORGÁNICOS VENDIBLES;F;4;OBSOLETO;2018-09-09;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2133; ;x;;
ASEO;ASE-F007;FORMATO DE ENTREGA DE RESIDUOS ORGANICOS PARA INCINERACIÓN (Diario);F;3;ANULADO;2018-09-10;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2132;alerta;;X;X
ASEO;ASE-F009;ENTREGA DE MATERIALES VENDIBLES;F;5;DESACTUALIZADO;2018-09-11;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2131;alerta;;;
ASEO;ASE-F011;CONTROL LAVADO DE CARROS ESCABILADEROS ;F;6;DESACTUALIZADO;2018-09-12;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2130;alerta;;;
ASEO;ASE-F013;CONTROL ENTREGA DE EPP Y HERRAMIENTAS DE TRABAJO;F;2;OBSOLETO;2018-09-13;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2129; ;x;;
ASEO;ASE-F014;ENTREGA DE RESIDUOS CONVENSIONALES;F;4;DESACTUALIZADO;2018-09-14;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2128;alerta;;;
ASEO;ASE-F015;ENTREGA DE PRODUCTOS Y ELEMENTOS DE ASEO PARA LAS ÁREAS ;F;2;OBSOLETO;2018-09-15;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2127; ;x;;
ASEO;ASE-F017;FORMATO ENTREGA DE PERIODICO A FUNDACIÓN ;F;2;OBSOLETO;2018-09-16;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2126; ;x;;
ASEO;ASE-F018;RECIBO Y ENTREGA DE GUANTES DE ACERO PARA LAVADO Y DESINFECCIÓN;F;1;OBSOLETO;2018-09-17;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2125; ;x;;
ASEO;ASE-F019;FORMATO DE ENTREGA DE RESIDUOS ORGÁNICOS APROVECHABLES PARA COMPOSTAJE;F;4;DESACTUALIZADO;2018-09-18;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2124;alerta;;;
ASEO;ASE-F020;PLAN DE LIMPIEZA TODAS LAS ÁREAS;F;6;DESACTUALIZADO;2018-09-19;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2123;alerta;;;
ASEO;ASE-F021;CONTROL DE RECEPCIÓN DE BOLSAS ROJAS RVI;F;1;OBSOLETO;2018-09-20;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2122; ;x;;
ASEO;ASE-F022;LAVADO DE DRENAJES;F;5;DESACTUALIZADO;2018-09-21;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2121;alerta;;;
ASEO;ASE-F023;CONTROL DE INVENTARIO Y DOSIFICACION;F;4;DESACTUALIZADO;2018-09-22;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2120;alerta;;;
ASEO;ASE-F024;RECEPCIÓN DE RESIDUOS COMUNES PARA CLASIFICACIÓN Y COMPACTACIÓN;F;1;OBSOLETO;2018-09-23;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2119; ;x;;
ASEO;ASE-F025;CONTROL LAVADO DIARIO DE FURGONES;F;2;ANULADO;2018-09-24;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2118;alerta;;x;
ASEO;ASE-F026;ENTREGA DE TURNO DEL CUARTO DE RESIDUOS;F;2;OBSOLETO;2018-09-25;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2117; ;x;;
ASEO;ASE-F027;CONTROL DE ASIGNACIÓN DE VPS DIARIO;F;2;OBSOLETO;2018-09-26;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2116; ;x;;
ASEO;ASE-F028;CONTROL DE LAVADO DE FORROS DE ASCENSORES;F;2;OBSOLETO;2018-09-27;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2115; ;x;;
ASEO;ASE-F029;LISTA DE VERIFICACIÓN SUPERVISOR HIGIENE;F;2;OBSOLETO;2018-09-28;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2114; ;x;;
ASEO;ASE-F030; ENTREGA DIARIA DE RESIDUOS ORGÁNICOS PARA INCINERACIÓN;F;5;DESACTUALIZADO;2018-09-29;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2113;alerta;;;
ASEO;ASE-F031;CONTROL DE SOLICITUD DE TIEMPO DE PARTE DEL PERSONAL DE HIGIENE PARA SALIR ANTES DEL TURNO;F;3;DESACTUALIZADO;2018-09-30;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2112;alerta;;;
ASEO;ASE-F032;FACTURAS ENTREGADAS A CONTABILIDAD;F;2;DESACTUALIZADO;2018-10-01;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2111;alerta;;;
ASEO;ASE-F033;FORMATO ENTREGA DE SOLICITUD DE COMPRAS;F;1;DESACTUALIZADO;2018-10-02;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2110;alerta;;;
ASEO;ASE-F034;CONTROL LAVADO GENERAL DE ÁREAS;F;1;DESACTUALIZADO;2018-10-03;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2109;alerta;;;
ASEO;ASE-F035;CONSOLIDADO DE ENTREGA MENSUAL DE RESIDUOS ORGANICOS PARA INCINERACIÓN;F;3;DESACTUALIZADO;2018-10-04;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2108;alerta;;;
ASEO;ASE-I001;CLASIFICACIÓN, MANEJO Y ENTREGA DE RESIDUOS APROVECHABLES VENDIBLES (VARIOS);I;5;DESACTUALIZADO;2018-10-05;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2107;alerta;;;
ASEO;ASE-I002;CLASIFICACIÓN, MANEJO  Y ENTREGA DE RESIDUOS INORGÁNICOS (CARTÓN);I;5;DESACTUALIZADO;2018-10-06;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2106;alerta;;;
ASEO;ASE-I003;INSTRUCTIVO CLASIFICACION DE RESIDUOS APROVECHABLES VIDRIOS;I;5;DESACTUALIZADO;2018-10-07;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2105;alerta;;;
ASEO;ASE-I006;ALISTAMIENTO DE KIT DE LIMPIEZA POR ÁREAS;I;4;DESACTUALIZADO;2018-10-08;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2104;alerta;;;
ASEO;ASE-I008;ENTREGA DE RESIDUOS ORGANICOS PARA INCINERACION;I;3;ANULADO;2018-10-09;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2103;alerta;;x;
ASEO;ASE-I009;ENTREGA DE RESIDUOS ORGANICOS APROVECHABLES PARA COMPOSTAJE;I;5;DESACTUALIZADO;2018-10-10;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2102;alerta;;;
ASEO;ASE-I011;CLASIFICACIÓN, MANEJO Y ENTREGA DE RESIDUOS INORGANICOS (REVISTAS, PERIODICOS Y ARCHIVOS);I;4;DESACTUALIZADO;2018-10-11;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2101;alerta;;;
ASEO;ASE-I014;DOSIFICACIÓN DE PRODUCTOS QUIMICOS, JABONES Y DESINFECTANTES;I;6;DESACTUALIZADO;2018-10-12;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2100;alerta;;;
ASEO;ASE-I020;LAVADO Y DESINFECCIÓN DE LICUADORA Y PELA PAPAS;I;5;DESACTUALIZADO;2018-10-13;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2099;alerta;;;
ASEO;ASE-I022;LIMPIEZA Y DESINFECCIÓN DE VINIPELADORA DE MESA;I;4;DESACTUALIZADO;2018-10-14;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2098;alerta;;;
ASEO;ASE-I025;LAVADO DE ESTUFA PLANCHA Y PARRILA;I;4;DESACTUALIZADO;2018-10-15;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2097;alerta;;;
ASEO;ASE-I027;LIMPIEZA DE MAQUINA DE LAVADO EXTERNAMENTE;I;6;DESACTUALIZADO;2018-10-16;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2096;alerta;;;
ASEO;ASE-I029;LAVADO DE HORNOS;I;4;DESACTUALIZADO;2018-10-17;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2095;alerta;;;
ASEO;ASE-I037;LAVADO  DE MARMITAS Y BASCULANTE;I;5;DESACTUALIZADO;2018-10-18;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2094;alerta;;;
ASEO;ASE-I039;LAVADO Y DESINFECCIÓN DE UTENSILIOS EN OLLERO;I;4;DESACTUALIZADO;2018-10-19;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2093;alerta;;;
ASEO;ASE-I046;LIMPIEZA Y DESINFECCIÓN DE FREIDORAS;I;3;DESACTUALIZADO;2018-10-20;MANTENIMIENTO - HIGIENE;;;;;;;;5;2024-08-12;2092;alerta;;;
ASEO;ASE-I048;LIMPIEZA DE CORTINAS PLASTICAS;I;3;DESACTUALIZADO;2018-10-21;MANTENIMIENTO - HIGIENE;;;;;;;;5;2024-08-12;2091;alerta;;;
ASEO;ASE-I049;LAVADO Y DESINFECCIÓN DE GRAMERAS, BÁSCULA DE PIE, PESAJE DE TROLLYS Y BÁSCULA DE RECIBO DE ALMACÉN;I;3;DESACTUALIZADO;2018-10-22;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2090;alerta;;;
ASEO;ASE-I053;LAVADO Y DESINFECCIÓN DE CARROS PARA HORNEO Y CARROS ESCABILADEROS;I;4;DESACTUALIZADO;2018-10-23;MANTENIMIENTO - HIGIENE;;;;;;;;5;2024-08-12;2089;alerta;;;
ASEO;ASE-I055;LAVADO DE REJILLAS Y DRENAJES;I;3;DESACTUALIZADO;2018-10-24;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2088;alerta;;;
ASEO;ASE-I056;LIMPIEZA Y DESINFECCIÓN DE EQUIPOS DE PANADERÍA Y PASTELERÍA;I;3;DESACTUALIZADO;2018-10-25;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2087;alerta;;;
ASEO;ASE-I057;LAVADO Y DESINFECCIÓN DE BASE DE ABRELATAS;I;3;DESACTUALIZADO;2018-10-26;MANTENIMIENTO - HIGIENE;;;;;;;;5;2024-08-12;2086;alerta;;;
ASEO;ASE-I059;LAVADO Y DESINFECCION DE BAÑOS Y FILTROS SANITARIOS;I;3;DESACTUALIZADO;2018-10-27;MANTENIMIENTO - HIGIENE;;;;;;;;4;2024-08-12;2085;alerta;;;
ASEO;ASE-I061;LAVADO Y DESINFECCIÓN DE ESTIBAS PLÁSTICAS;I;3;DESACTUALIZADO;2018-10-28;MANTENIMIENTO - HIGIENE;;;;;;;;5;2024-08-12;2084;alerta;;;
ASEO;ASE-I062;LAVADO DE ESCALERAS;I;3;DESACTUALIZADO;2018-10-29;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2083;alerta;;;
ASEO;ASE-I063;LIMPIEZA DE MAMPOSTERIA, CUARTOS FRIOS, TECHOS Y PISOS;I;3;DESACTUALIZADO;2018-10-30;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2082;alerta;;;
ASEO;ASE-I064;LIMPIEZA DE VIDRIOS Y ACRILICOS;I;5;DESACTUALIZADO;2018-10-31;MANTENIMIENTO - HIGIENE;;;;;;;;5;2024-08-12;2082;alerta;;;
ASEO;ASE-I066 ;LIMPIEZA DE ASCENSORES;I;3;DESACTUALIZADO;2018-11-01;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2081;alerta;;;
ASEO;ASE-I067;LAVADO DE CAMPANA EXTRACTOTA DE COCINA CALIENTE;I;4;DESACTUALIZADO;2018-11-02;MANTENIMIENTO - HIGIENE;;;;;;;;5;2024-08-12;2080;alerta;;;
ASEO;ASE-I069;LAVADO DE ULTRACONGELADOR IRINOX (CHILLER);I;3;DESACTUALIZADO;2018-11-03;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2079;alerta;;;
ASEO;ASE-I072;LAVADO DE CARROS DE SERVICIOS O COMBROS DE LOZA;I;4;DESACTUALIZADO;2018-11-04;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2078;alerta;;;
ASEO;ASE-I076;LIMPIEZA DE ESTANTERIAS DE ALMACEN;I;3;DESACTUALIZADO;2018-11-05;MANTENIMIENTO - HIGIENE;;;;;;;;5;2024-08-12;2077;alerta;;;
ASEO;ASE-I077;LIMPIEZA Y DESINFECCIÓN DE BASCULAS;I;4;DESACTUALIZADO;2018-11-06;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2076;alerta;;;
ASEO;ASE-I078;LAVADO MAQUINA REVISIÓN DE TROLLEYS;I;3;DESACTUALIZADO;2018-11-07;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2075;alerta;;;
ASEO;ASE-I079;LIMPIEZA DE LAVAMANOS;I;3;DESACTUALIZADO;2018-11-08;MANTENIMIENTO - HIGIENE;;;;;;;;7;2024-08-12;2074;alerta;;;
ASEO;ASE-I084;MANEJO DE COMPACTADORA Y COMPACTACIÓN DE RESIDUOS;I;3;DESACTUALIZADO;2018-11-09;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2073;alerta;;;
ASEO;ASE-I085;LAVADO Y DESINFECCIÓN DE EQUIPOS DE PRODUCCIÓN (TAJADORAS Y CUTTER);I;4;DESACTUALIZADO;2018-11-10;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2072;alerta;;;
ASEO;ASE-I086;LAVADO DE PARRILLA ;I;2;DESACTUALIZADO;2018-11-11;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2071;alerta;;;
ASEO;ASE-I087;LAVADO INTERNO DE FURGONES;I;2;ANULADO;2018-11-12;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2070;alerta;;x;
ASEO;ASE-I088;PROCESO DE ALMACENAMINETO DE EQUIPO LIMPIO Y SUCIO EN LAS ESTANTERIAS DE OLLEROS;I;3;DESACTUALIZADO;2018-11-13;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2069;alerta;;;
ASEO;ASE-I089;PROCESO HIGIENIZACIÓN DE LA LINEA DE SERVICIO;I;2;DESACTUALIZADO;2018-11-14;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2068;alerta;;;
ASEO;ASE-I090;USO DE MÁQUINA ASPIRADORA DE POLVO Y AGUA;I;2;DESACTUALIZADO;2018-11-15;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2067;alerta;;;
ASEO;ASE-I091;USO DE MÁQUINA ROTATIVA;I;2;DESACTUALIZADO;2018-11-16;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2066;alerta;;;
ASEO;ASE-I092;USO DE MÁQUINA DE VAPOR CARMEN PLUS;I;2;DESACTUALIZADO;2018-11-17;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2065;alerta;;;
ASEO;ASE-I093;LAVADO Y SANITIZACIÓN DE POCETAS Y MÁQUINA LAVAVAJILLA PARA EL PROCESO HALAL;I;4;DESACTUALIZADO;2018-11-18;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2064;alerta;;;
ASEO;ASE-I094;LAVADO Y SANITIZACIÓN DE UTENSILIOS Y HERRAMIENTAS HALAL;I;5;DESACTUALIZADO;2018-11-19;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2063;alerta;;;
ASEO;ASE-I095;LAVADO Y SANITIZACIÓN COCINA HALAL ;I;4;DESACTUALIZADO;2018-11-20;MANTENIMIENTO - HIGIENE;;;;;;;;4;2024-08-12;2062;alerta;;;
ASEO;ASE-I096;PROCESO DE HIGIENIZACIÓN DE MENAJE DE CAFETERÍA;I;4;DESACTUALIZADO;2018-11-21;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2061;alerta;;;
ASEO;ASE-I097;LIMPIEZA Y DESINFECCIÓN DE MESAS Y BARRAS EN SALAS;I;1;DESACTUALIZADO;2018-11-22;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2060;alerta;;;
ASEO;ASE-I098;DESINFECCION DE ZONAS COMUNES Y AMBIENTE DE AREAS DE PROCESOS COVID 19;I;1;DESACTUALIZADO;2018-11-23;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2059;alerta;;;
ASEO;ASE-I099;DESINFECCIÓN POR CONTAMINACIÓN CON FLUIDOS CORPORALES;I;1;DESACTUALIZADO;2018-11-24;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2058;alerta;;;
ASEO;ASE-I100;LAVADO Y DESINFECCIÓN DE CUCHILLOS Y HERRAMIENTAS DE AREAS OPERATIVAS;I;1;DESACTUALIZADO;2018-11-25;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2057;alerta;;;
ASEO;ASE-I101;LAVADO Y DESINFECCIÓN DE POCETAS Y MÁQUINA LAVAVAJILLA;I;1;DESACTUALIZADO;2018-11-26;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2056;alerta;;;
ASEO;ASE-I102;LAVADO DE ESTIBAS ANTIDERRAME DE OLLEROS;I;1;DESACTUALIZADO;2018-11-27;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2055;alerta;;;
ASEO;ASE-L001;MAPA CENTRO DE ACOPIO DE RESIDUOS;L;6;DESACTUALIZADO;2018-11-28;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2054;alerta;;;
ASEO;ASE-L002;LAYOUT CLASIFICACIÓN DE RESIDUOS APROVECHABLES;L;4;DESACTUALIZADO;2018-11-29;MANTENIMIENTO - HIGIENE;;;;;;;;1;2024-08-12;2053;alerta;;;
ASEO;ASE-L003;MAPA ÁREA DE OLLERO PISO 2;L;6;DESACTUALIZADO;2018-11-30;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2052;alerta;;;
ASEO;ASE-L004;MAPA ÁREA DE OLLERO PISO 3;L;8;DESACTUALIZADO;2018-12-01;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2051;alerta;;;
ASEO;ASE-L006;MAPA AREA DE IMPLEMENTOS DE ASEO PISO 1;L;5;DESACTUALIZADO;2018-12-02;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2050;alerta;;;
ASEO;ASE-L007;MAPA AREA DE IMPLEMENTOS DE ASEO PISO 2;L;5;DESACTUALIZADO;2018-12-03;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2049;alerta;;;
ASEO;ASE-L008;MAPA AREA DE IMPLEMENTOS DE ASEO PISO 3;L;5;DESACTUALIZADO;2018-12-04;MANTENIMIENTO - HIGIENE;;;;;;;;2;2024-08-12;2048;alerta;;;
ASEO;ASE-MCV-001;ASEO Y DESINFECCIÓN EQUIPO Y LOCATIVO;MCV;1;DESACTUALIZADO;2018-12-05;MANTENIMIENTO - HIGIENE;;;;;;;;3;2024-08-12;2047;alerta;;;
ASEO;ASE-P001;LAVADO Y DESINFECCIÓN DE EQUIPO Y UTENSILIOS EN OLLERO;P;2;DESACTUALIZADO;2018-12-06;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2046;alerta;;;
ASEO;ASE-P002;LAVADO Y DESINFECCION DE EQUIPO E INFRAESTRUCTURA LOCATIVA;P;1;DESACTUALIZADO;2018-12-07;MANTENIMIENTO - HIGIENE;;;;;;;;;2024-08-12;2045;alerta;;;
